Id,Chr,Start,End,GC_Percent
ENSMUSG00000090967,chr7,42260053,42300755,37.44
ENSMUSG00000028542,chr4,117834506,117875198,53.59
ENSMUSG00000038540,chr7,83584927,83625614,45.03
ENSMUSG00000029552,chr6,17065149,17105828,42.59
ENSMUSG00000021069,chr12,70190811,70231488,46.05
ENSMUSG00000094724,chr17,6970634,7011299,46.4
ENSMUSG00000020361,chr11,53259814,53300457,42.23
ENSMUSG00000054537,chr5,86705186,86745815,38.39
ENSMUSG00000059208,chr17,33646233,33686860,41.01
ENSMUSG00000025903,chr1,4807788,4848410,41.08
ENSMUSG00000011158,chr12,112960085,113000704,49.17
ENSMUSG00000061126,chr17,32452723,32493320,47.08
ENSMUSG00000054102,chr7,26535023,26575615,38.79
ENSMUSG00000040331,chr7,130532526,130573118,45.55
ENSMUSG00000067220,chr5,72603696,72644275,41.67
ENSMUSG00000028901,chr4,132221025,132261602,45.83
ENSMUSG00000033427,chr10,75401115,75441679,46.17
ENSMUSG00000029577,chr5,114380607,114421169,53.09
ENSMUSG00000033557,chr1,156678532,156719086,43.88
ENSMUSG00000036555,chr5,140661827,140702378,52.25
ENSMUSG00000034522,chr14,65358389,65398930,48.38
ENSMUSG00000038055,chr16,10502531,10543054,50.61
ENSMUSG00000025916,chr1,9968624,10009136,41.52
ENSMUSG00000003644,chr4,133847290,133887797,52.31
ENSMUSG00000031220,chrX,100402221,100442717,42.91
ENSMUSG00000015342,chrX,9272756,9313250,40.06
ENSMUSG00000035606,chr9,102505750,102546239,50.12
ENSMUSG00000040234,chr6,146602352,146642824,46.73
ENSMUSG00000040373,chr11,107874605,107915055,48.06
ENSMUSG00000025648,chr9,108991778,109032228,51.09
ENSMUSG00000034648,chr6,107529768,107570214,40.62
ENSMUSG00000026779,chr2,23115606,23156024,38.99
ENSMUSG00000043461,chr3,69819542,69859940,41.95
ENSMUSG00000048652,chr3,146645195,146685592,44.22
ENSMUSG00000020617,chr11,109787651,109828046,45.14
ENSMUSG00000050737,chr2,30889471,30929863,49.93
ENSMUSG00000004070,chr16,4726361,4766742,43.62
ENSMUSG00000035540,chr5,89417522,89457898,40.32
ENSMUSG00000027835,chr3,75516490,75556856,36.9
ENSMUSG00000002718,chr2,166906040,166946389,42.76
ENSMUSG00000015942,chr5,134184019,134224355,48.89
ENSMUSG00000037325,chr3,36573142,36613477,40.25
ENSMUSG00000058099,chr15,82992973,83033306,51.27
ENSMUSG00000020115,chr10,121546455,121586787,46.9
ENSMUSG00000005125,chr15,66929318,66969640,48.95
ENSMUSG00000026678,chr1,169655501,169695813,41.35
ENSMUSG00000029169,chr5,52150203,52190514,36.26
ENSMUSG00000026450,chr1,134111242,134151540,46.82
ENSMUSG00000029790,chr6,30653457,30693749,43.36
ENSMUSG00000037020,chr7,30240138,30280419,49.89
ENSMUSG00000061589,chr10,80755206,80795461,53.38
ENSMUSG00000096834,chrX,148663598,148703849,39.47
ENSMUSG00000022315,chr15,52295553,52335798,39.19
ENSMUSG00000051590,chr1,127814791,127855031,43.55
ENSMUSG00000035273,chr5,100679484,100719716,44.64
ENSMUSG00000035228,chr7,5020553,5060785,50.66
ENSMUSG00000091962,chr7,86915094,86955312,37.04
ENSMUSG00000020251,chr10,82650433,82690650,44.53
ENSMUSG00000062624,chr19,39608842,39649051,37.5
ENSMUSG00000027956,chr3,79812564,79852773,42.98
ENSMUSG00000046324,chr19,29608214,29648415,43.68
ENSMUSG00000061666,chr11,87033867,87074062,43.68
ENSMUSG00000030123,chr6,115954811,115995005,56.12
ENSMUSG00000072931,chrX,147992993,148033174,39.32
ENSMUSG00000078502,chr4,145585166,145625345,38.22
ENSMUSG00000036188,chr12,36157114,36197291,43.24
ENSMUSG00000029843,chr6,35267957,35308131,47.42
ENSMUSG00000095621,chrX,149447617,149487784,39.39
ENSMUSG00000091712,chr16,5147109,5187271,49.03
ENSMUSG00000038121,chr18,68260187,68300333,41.43
ENSMUSG00000020651,chr12,31519827,31559969,43.45
ENSMUSG00000025001,chr19,38930915,38971051,37.48
ENSMUSG00000022040,chr14,66084374,66124500,45.65
ENSMUSG00000074643,chr2,156071842,156111965,43.27
ENSMUSG00000024105,chr17,66554505,66594621,45.43
ENSMUSG00000033813,chr1,4857814,4897909,38.79
ENSMUSG00000092080,chr5,109330162,109370247,38.31
ENSMUSG00000026409,chr1,130689182,130729253,43.15
ENSMUSG00000025159,chr19,41941086,41981157,45.03
ENSMUSG00000028708,chr4,115839198,115879250,47.32
ENSMUSG00000030177,chr6,120324323,120364374,43.4
ENSMUSG00000045519,chr9,20345136,20385177,40.81
ENSMUSG00000027300,chr2,130590002,130630038,44.79
ENSMUSG00000034343,chr1,91250304,91290337,43.45
ENSMUSG00000040028,chr8,4285382,4325413,43.36
ENSMUSG00000027185,chr2,103721256,103761270,47.66
ENSMUSG00000079215,chr5,124862691,124902693,47.81
ENSMUSG00000026648,chr2,3424131,3464130,42.78
ENSMUSG00000112858,chr14,54814141,54854108,40.37
ENSMUSG00000074570,chr2,172393794,172433757,49
ENSMUSG00000031349,chrX,72918557,72958514,43.13
ENSMUSG00000026821,chr2,28513125,28553081,54.76
ENSMUSG00000027331,chr2,118814003,118853957,45.36
ENSMUSG00000032350,chr9,77754535,77794485,44.39
ENSMUSG00000004071,chr16,4750348,4790292,44.69
ENSMUSG00000026237,chr1,86386303,86426228,47.76
ENSMUSG00000038582,chr5,122284365,122324281,48.34
ENSMUSG00000024620,chr18,61045150,61085061,51.52
ENSMUSG00000026616,chr1,195136811,195176716,36.93
ENSMUSG00000087651,chr10,83722865,83762762,45.94
ENSMUSG00000055319,chr7,128744943,128784836,43.1
ENSMUSG00000047534,chr12,65132734,65172604,37.81
ENSMUSG00000033065,chr15,98092589,98132451,48.49
ENSMUSG00000025375,chr11,120007313,120047167,54.98
ENSMUSG00000034290,chr12,85299514,85339362,43.4
ENSMUSG00000075703,chr5,30232581,30272427,42.65
ENSMUSG00000012350,chr2,103263433,103303278,44.33
ENSMUSG00000024786,chr19,6184388,6224225,44.61
ENSMUSG00000036955,chr10,62538626,62578457,46.37
ENSMUSG00000026553,chr1,172082529,172122330,42.81
ENSMUSG00000037965,chr16,11136592,11176393,44.29
ENSMUSG00000031860,chr8,69832491,69872292,48.95
ENSMUSG00000028945,chr5,24802823,24842624,43.12
ENSMUSG00000022855,chr16,22009484,22049269,43.07
ENSMUSG00000038760,chr15,44196135,44235912,37.52
ENSMUSG00000038366,chr11,97799000,97838764,52.04
ENSMUSG00000032338,chr9,58823412,58863175,52.72
ENSMUSG00000036381,chr3,59113855,59153618,42.39
ENSMUSG00000037784,chr9,99629496,99669256,47.79
ENSMUSG00000057228,chr8,60505932,60545677,39.99
ENSMUSG00000001482,chr8,123423527,123463270,49.55
ENSMUSG00000042761,chr9,87144306,87184045,45.64
ENSMUSG00000053675,chr2,121046111,121085841,44.26
ENSMUSG00000020811,chr11,71749920,71789647,50.12
ENSMUSG00000038482,chr8,13338751,13378448,49.65
ENSMUSG00000030539,chr7,80186841,80226527,50.54
ENSMUSG00000041698,chr6,141907282,141946962,37.8
ENSMUSG00000051343,chr6,85334962,85374634,51.11
ENSMUSG00000070576,chr5,111417362,111457033,53.36
ENSMUSG00000020366,chr11,49846751,49886421,43.13
ENSMUSG00000021718,chr13,105082122,105121782,37.16
ENSMUSG00000058240,chr16,91689322,91728975,45.34
ENSMUSG00000026239,chr1,86542994,86582629,43.17
ENSMUSG00000022253,chr15,9071260,9110891,43.29
ENSMUSG00000031993,chr9,30427108,30466733,44.46
ENSMUSG00000022791,chr16,32643874,32683493,52.35
ENSMUSG00000000532,chr15,101174067,101213684,49.44
ENSMUSG00000031327,chrX,103356476,103396092,38.53
ENSMUSG00000028444,chr4,41657498,41697089,54.82
ENSMUSG00000032192,chr9,75306288,75345876,47.34
ENSMUSG00000056162,chr18,84610509,84650095,44.58
ENSMUSG00000034210,chr4,115737744,115777327,41.32
ENSMUSG00000079263,chr6,141971845,142011414,38.45
ENSMUSG00000024771,chr19,34008290,34047835,38.28
ENSMUSG00000048154,chr15,98831669,98871204,54.79
ENSMUSG00000037395,chr1,192098546,192138062,42.21
ENSMUSG00000048922,chr14,67676331,67715841,42.37
ENSMUSG00000005312,chr13,58176156,58215653,43.1
ENSMUSG00000044950,chr11,43681998,43721491,41.33
ENSMUSG00000029456,chr5,121621026,121660514,48.74
ENSMUSG00000020826,chr11,78920787,78960254,50.08
ENSMUSG00000031785,chr8,94974751,95014217,53.56
ENSMUSG00000052056,chr2,170108643,170148103,46.79
ENSMUSG00000048833,chr12,80643883,80683342,43.36
ENSMUSG00000022129,chr14,118012790,118052244,43.9
ENSMUSG00000030726,chr7,100082111,100121565,42.77
ENSMUSG00000058952,chr3,129835884,129875332,43.32
ENSMUSG00000034006,chr18,80253292,80292725,49.74
ENSMUSG00000030411,chr7,18925888,18965319,50.8
ENSMUSG00000000838,chrX,68678541,68717963,35.06
ENSMUSG00000031696,chr8,85260392,85299802,38.31
ENSMUSG00000037902,chr2,129592835,129632228,50.09
ENSMUSG00000035296,chr14,61219115,61258490,44.27
ENSMUSG00000027615,chr3,19995945,20035315,41.44
ENSMUSG00000021540,chr13,56703010,56742377,43.48
ENSMUSG00000030602,chr7,28558819,28598185,53.72
ENSMUSG00000020080,chr10,62383137,62422491,49.17
ENSMUSG00000021189,chr12,101918901,101958246,42.54
ENSMUSG00000014077,chr2,119547697,119587027,42.36
ENSMUSG00000033952,chr1,139454772,139494091,40.38
ENSMUSG00000027186,chr2,103411688,103450989,46.46
ENSMUSG00000025776,chr1,17727045,17766344,37.32
ENSMUSG00000009905,chr1,106720459,106759727,44.87
ENSMUSG00000099564,chr9,96486001,96525264,46.28
ENSMUSG00000091635,chr5,109152940,109192199,39.35
ENSMUSG00000039062,chr7,79821803,79861059,50.31
ENSMUSG00000033882,chr3,82837228,82876483,37.59
ENSMUSG00000029290,chr5,105876565,105915818,38.97
ENSMUSG00000034152,chr13,74169488,74208732,41.98
ENSMUSG00000002052,chr11,78206746,78245987,46.39
ENSMUSG00000094910,chr12,105453856,105493095,49.27
ENSMUSG00000036027,chr9,51289686,51328924,42.57
ENSMUSG00000033107,chr18,20944625,20983862,43.95
ENSMUSG00000047767,chr7,101263034,101302251,45.44
ENSMUSG00000061882,chr5,123930679,123969895,44.72
ENSMUSG00000041809,chr1,20951626,20990841,42.17
ENSMUSG00000019188,chr2,152669461,152708670,51.11
ENSMUSG00000020609,chr12,7977648,8016835,42.54
ENSMUSG00000029250,chr5,77310147,77349324,42.05
ENSMUSG00000091771,chr17,19773363,19812536,36.23
ENSMUSG00000016181,chr1,193091104,193130272,46.1
ENSMUSG00000028917,chr4,141625734,141664899,52.05
ENSMUSG00000035245,chr6,97110024,97149182,43.95
ENSMUSG00000030754,chr7,114215559,114254711,39.21
ENSMUSG00000090304,chr17,19361949,19401098,36.03
ENSMUSG00000028278,chr4,32983037,33022180,44.76
ENSMUSG00000028790,chr4,129703164,129742303,42.42
ENSMUSG00000026280,chr1,93751500,93790610,46.44
ENSMUSG00000058252,chrX,135654698,135693790,44.66
ENSMUSG00000028068,chr3,88081971,88121048,51.37
ENSMUSG00000022026,chr14,79984081,80023139,41.89
ENSMUSG00000022358,chr15,58175879,58214932,45.37
ENSMUSG00000090655,chr17,57506453,57545505,38.38
ENSMUSG00000027201,chr2,125084628,125123661,37.85
ENSMUSG00000043687,chr8,120608602,120647632,52.12
ENSMUSG00000042345,chr17,31207873,31246892,48.26
ENSMUSG00000043207,chr4,121059237,121098241,42.2
ENSMUSG00000027770,chr3,62468013,62507004,37.15
ENSMUSG00000022537,chr16,30511855,30550842,48.95
ENSMUSG00000024665,chr19,10062765,10101746,48.62
ENSMUSG00000024027,chr17,30901817,30940791,50.37
ENSMUSG00000031600,chr8,40511783,40550757,39.16
ENSMUSG00000040310,chr2,93642384,93681339,51.13
ENSMUSG00000034667,chr10,121587380,121626332,46.16
ENSMUSG00000071847,chr18,62922231,62961179,46.64
ENSMUSG00000067919,chr4,147021850,147060794,39.05
ENSMUSG00000028008,chr3,81982290,82021233,37.92
ENSMUSG00000045690,chr12,75630596,75669537,43.31
ENSMUSG00000017740,chr2,164960802,164999731,53.47
ENSMUSG00000021144,chr12,113098278,113137206,53.29
ENSMUSG00000032322,chr9,56089962,56128888,51.57
ENSMUSG00000026277,chr1,93619751,93658659,45.61
ENSMUSG00000018425,chr11,86768846,86807746,39.8
ENSMUSG00000031105,chrX,48623413,48662294,39.18
ENSMUSG00000027071,chr2,84998583,85037462,47
ENSMUSG00000030830,chr7,127296260,127335138,49.53
ENSMUSG00000071350,chr14,59402009,59440884,38.77
ENSMUSG00000027550,chr3,14533788,14572658,37.96
ENSMUSG00000000001,chr3,108107280,108146146,41.65
ENSMUSG00000032719,chr1,15853862,15892722,42.13
ENSMUSG00000063952,chr17,28801090,28839949,50.74
ENSMUSG00000036995,chr4,136206365,136245216,50.98
ENSMUSG00000069631,chr11,106163330,106202168,45.02
ENSMUSG00000028938,chr5,25181460,25220297,44.28
ENSMUSG00000053119,chr6,71543797,71582609,40.95
ENSMUSG00000028869,chr4,125016585,125055380,45.83
ENSMUSG00000060268,chr4,117213334,117252125,47.45
ENSMUSG00000028788,chr4,129811219,129850003,43.16
ENSMUSG00000038733,chr1,181173228,181212001,41.61
ENSMUSG00000091879,chr5,109419688,109458459,38.44
ENSMUSG00000024246,chr17,81026332,81065082,44.06
ENSMUSG00000074259,chr9,59680144,59718874,48.18
ENSMUSG00000109572,chr5,34288600,34327327,48.36
ENSMUSG00000020169,chr10,116986314,117025040,45.87
ENSMUSG00000051079,chr1,144138654,144177372,38
ENSMUSG00000027425,chr2,144368983,144407676,44.87
ENSMUSG00000002190,chr8,83389867,83428552,44.3
ENSMUSG00000027984,chr3,131233419,131272101,47.16
ENSMUSG00000005364,chr6,106710357,106749037,40.4
ENSMUSG00000043962,chr4,126164082,126202760,42.99
ENSMUSG00000034422,chr16,35832874,35871544,43.38
ENSMUSG00000029344,chr5,112276691,112315361,53.72
ENSMUSG00000008206,chr8,4493026,4531680,45.96
ENSMUSG00000038641,chr6,37530173,37568815,41.45
ENSMUSG00000041895,chr11,109573331,109611967,48.76
ENSMUSG00000034518,chr8,74993356,75031978,42.8
ENSMUSG00000036932,chrX,48474944,48513563,41.68
ENSMUSG00000062511,chr11,11589223,11627835,40.4
ENSMUSG00000036112,chr10,93858489,93897093,41.99
ENSMUSG00000027006,chr2,80315466,80354043,39.48
ENSMUSG00000021982,chr14,59559388,59597959,42.67
ENSMUSG00000026348,chr1,127729413,127767978,42.45
ENSMUSG00000061544,chr17,21730795,21769342,39.52
ENSMUSG00000060673,chrX,81419575,81458121,37.01
ENSMUSG00000020611,chr11,109362831,109401369,44.87
ENSMUSG00000019929,chr10,97479609,97518143,37.42
ENSMUSG00000036983,chr17,3519256,3557781,41.04
ENSMUSG00000002578,chr10,128630843,128669358,47.46
ENSMUSG00000029111,chr5,33897916,33936413,43.85
ENSMUSG00000044968,chr5,21662901,21701396,43.46
ENSMUSG00000027438,chr2,148693985,148732467,42.76
ENSMUSG00000024084,chr17,79051906,79090378,42.93
ENSMUSG00000002372,chr17,56673294,56711764,51.62
ENSMUSG00000020530,chr11,84832361,84870817,39.37
ENSMUSG00000032382,chr9,66088133,66126587,44.11
ENSMUSG00000017670,chr2,165288031,165326479,52.48
ENSMUSG00000030471,chr7,48789003,48827440,40.5
ENSMUSG00000027951,chr3,89715022,89753446,48.2
ENSMUSG00000025925,chr1,15805646,15844052,38.78
ENSMUSG00000019936,chr10,97644068,97682454,36.82
ENSMUSG00000056498,chr3,84666192,84704575,45.89
ENSMUSG00000000214,chr7,142892752,142931128,51.59
ENSMUSG00000025280,chr14,24448696,24487058,47.36
ENSMUSG00000026000,chr1,67000517,67038872,44.17
ENSMUSG00000028653,chr4,123016597,123054949,44.62
ENSMUSG00000028327,chr4,45848664,45887008,48.75
ENSMUSG00000030861,chr7,131410601,131448944,41.82
ENSMUSG00000066232,chr7,110018274,110056609,38.34
ENSMUSG00000032116,chr9,36729344,36767679,39.86
ENSMUSG00000029246,chr5,76913249,76951578,45.37
ENSMUSG00000029392,chr5,124493080,124531391,50.4
ENSMUSG00000020652,chr12,4196004,4234294,47.39
ENSMUSG00000027478,chr2,153649450,153687730,47.55
ENSMUSG00000024313,chr18,21061923,21100199,42.24
ENSMUSG00000040447,chr11,72451638,72489904,52.54
ENSMUSG00000041737,chr9,31426196,31464462,44.14
ENSMUSG00000038463,chr1,170644532,170682789,49.15
ENSMUSG00000024757,chr19,7673061,7711310,39.41
ENSMUSG00000021592,chr13,76060422,76098660,40.03
ENSMUSG00000029656,chr4,104766317,104804548,44.8
ENSMUSG00000041842,chr3,84442198,84480429,47.77
ENSMUSG00000024594,chr18,57354741,57392956,44.5
ENSMUSG00000025007,chr19,40550257,40588463,47.05
ENSMUSG00000037474,chr1,191537356,191575544,39.8
ENSMUSG00000032231,chr9,69453620,69491795,47.34
ENSMUSG00000059883,chr15,94543643,94581815,44.81
ENSMUSG00000036557,chr17,87389571,87427741,46.14
ENSMUSG00000026043,chr1,45311538,45349706,35.86
ENSMUSG00000117781,chr18,84798558,84836716,40.42
ENSMUSG00000031478,chr8,22128283,22166435,43.29
ENSMUSG00000072664,chr15,9276888,9315032,39.23
ENSMUSG00000036564,chr8,95676980,95715119,53.53
ENSMUSG00000031682,chr8,79210431,79248570,42.63
ENSMUSG00000027242,chr2,121506723,121544860,43.12
ENSMUSG00000030649,chr7,101863715,101901849,45.99
ENSMUSG00000031548,chr8,23411502,23449632,47.76
ENSMUSG00000029206,chr5,66259897,66298026,42.68
ENSMUSG00000028555,chr4,109406623,109444745,49.51
ENSMUSG00000003062,chr13,19357676,19395795,42.85
ENSMUSG00000036990,chr8,79639618,79677724,39.87
ENSMUSG00000022089,chr14,70100105,70138206,48.75
ENSMUSG00000040413,chr11,46668960,46707061,43.03
ENSMUSG00000025086,chr19,57452912,57491005,46.84
ENSMUSG00000042190,chr5,113612354,113650426,52.63
ENSMUSG00000004947,chr5,135994800,136032872,50.66
ENSMUSG00000000562,chr3,105870858,105908926,45.35
ENSMUSG00000027401,chr2,130012349,130050399,46.02
ENSMUSG00000045216,chr1,36068400,36106446,51.85
ENSMUSG00000063821,chr14,21676537,21714576,47.66
ENSMUSG00000050697,chr15,5143861,5181899,43.67
ENSMUSG00000006699,chr4,137319696,137357720,41.05
ENSMUSG00000021364,chr13,41182381,41220405,44.99
ENSMUSG00000022476,chr15,81888228,81926240,49.36
ENSMUSG00000079424,chr5,95305911,95343917,40.01
ENSMUSG00000023021,chr15,99734881,99772885,45.41
ENSMUSG00000021594,chr13,69573449,69611442,47.05
ENSMUSG00000074625,chr2,158512796,158550762,48.98
ENSMUSG00000037347,chrX,20059560,20097521,40.34
ENSMUSG00000046591,chr7,79660196,79698148,42.52
ENSMUSG00000091896,chr18,35771558,35809494,40.24
ENSMUSG00000053914,chr9,14462548,14500482,40.45
ENSMUSG00000039981,chr10,7832470,7870396,46.21
ENSMUSG00000062519,chr6,47835661,47873537,41.99
ENSMUSG00000056910,chr17,20345242,20383113,36.48
ENSMUSG00000031845,chr8,117095854,117133720,47.93
ENSMUSG00000005981,chr16,4039971,4077827,46.73
ENSMUSG00000031486,chr8,27085583,27123436,51.85
ENSMUSG00000048108,chr6,116679063,116716913,45.58
ENSMUSG00000028710,chr4,115784812,115822655,42.54
ENSMUSG00000038564,chr5,31253277,31291116,47.68
ENSMUSG00000052676,chrX,134971372,135009209,36.81
ENSMUSG00000057596,chr7,104470014,104507849,41.03
ENSMUSG00000025082,chr19,56874249,56912078,49.84
ENSMUSG00000028282,chr4,32615451,32653265,39.85
ENSMUSG00000029403,chr5,92006074,92043883,40.58
ENSMUSG00000054520,chr5,34525838,34563641,51.68
ENSMUSG00000079562,chr5,33335509,33373296,46.21
ENSMUSG00000037913,chr5,65054346,65092132,42.43
ENSMUSG00000028782,chr4,129984870,130022633,56.12
ENSMUSG00000068823,chr3,103020426,103058186,38.61
ENSMUSG00000021337,chr13,23953456,23991214,43.16
ENSMUSG00000024924,chr19,27216484,27254231,43.62
ENSMUSG00000026833,chr2,28192992,28230736,52.31
ENSMUSG00000031864,chr8,68793929,68831667,43
ENSMUSG00000020034,chr10,84576626,84614359,44.99
ENSMUSG00000027639,chr2,157097533,157135265,43.87
ENSMUSG00000057337,chr10,60181532,60219260,50.64
ENSMUSG00000040054,chr10,128091577,128129303,47.41
ENSMUSG00000017715,chr11,117986292,118024011,52.16
ENSMUSG00000022433,chr15,79417856,79455566,52.89
ENSMUSG00000036172,chr16,44943678,44981380,40.21
ENSMUSG00000038379,chr9,83834689,83872389,39.55
ENSMUSG00000044468,chr3,100451628,100489324,47.62
ENSMUSG00000034774,chr18,20247340,20285031,38.1
ENSMUSG00000037994,chr3,135307700,135345387,41.95
ENSMUSG00000040489,chr11,45980310,46017994,40.24
ENSMUSG00000032525,chr9,121719169,121756843,40.79
ENSMUSG00000019988,chr10,92684746,92722420,39.73
ENSMUSG00000035572,chr4,45342101,45379759,39.68
ENSMUSG00000074657,chr10,127225696,127263348,50.74
ENSMUSG00000027487,chr2,154335380,154373010,42.78
ENSMUSG00000024975,chr19,53892231,53929860,42.86
ENSMUSG00000032727,chr13,111680979,111718596,44.13
ENSMUSG00000024696,chr19,12796193,12833807,39.48
ENSMUSG00000027007,chr2,79635352,79672966,41.24
ENSMUSG00000025730,chr17,25882114,25919727,47.43
ENSMUSG00000013483,chr11,119307768,119345375,50.88
ENSMUSG00000024287,chr18,9957906,9995489,37.93
ENSMUSG00000029370,chr5,90603076,90640657,42.38
ENSMUSG00000030148,chr6,123106428,123143999,39.19
ENSMUSG00000037280,chr15,100691813,100729376,51.49
ENSMUSG00000086277,chr1,161942086,161979636,43.09
ENSMUSG00000040629,chr1,166201201,166238747,39.39
ENSMUSG00000015659,chr17,6042196,6079741,45.47
ENSMUSG00000039179,chr16,10357948,10395490,48.87
ENSMUSG00000048875,chr18,50563877,50601419,37.69
ENSMUSG00000034361,chr8,94532990,94570531,51.88
ENSMUSG00000039942,chr15,5206661,5244187,42.52
ENSMUSG00000090336,chr8,13705889,13743414,44.98
ENSMUSG00000033790,chr7,55794154,55831677,40.88
ENSMUSG00000052914,chr4,96516138,96553661,38.55
ENSMUSG00000032249,chr9,62341293,62378812,51.08
ENSMUSG00000044921,chr10,102512222,102549736,36.64
ENSMUSG00000030108,chr6,121300227,121337733,47.71
ENSMUSG00000032178,chr9,21367871,21405361,47.05
ENSMUSG00000039391,chr7,89866148,89903629,41.62
ENSMUSG00000040187,chr6,146796055,146833529,46.62
ENSMUSG00000052525,chr17,71552061,71589533,38.87
ENSMUSG00000047246,chr13,23583670,23621124,41.7
ENSMUSG00000021918,chr14,30951377,30988821,42.29
ENSMUSG00000021482,chr13,64275280,64312710,44.68
ENSMUSG00000003282,chr4,3900996,3938423,39.19
ENSMUSG00000014763,chr17,15396202,15433583,45.75
ENSMUSG00000024096,chr17,65848418,65885798,47.04
ENSMUSG00000031201,chrX,75416628,75454001,36.18
ENSMUSG00000014195,chr11,100582818,100620188,45.63
ENSMUSG00000056300,chr4,146502027,146539395,41.64
ENSMUSG00000022292,chr15,37923952,37961318,39.68
ENSMUSG00000025103,chr7,81792074,81829431,39.87
ENSMUSG00000033177,chr16,45656315,45693658,41.51
ENSMUSG00000024588,chr18,64452914,64490251,44.9
ENSMUSG00000031226,chrX,105079756,105117090,39.47
ENSMUSG00000014177,chr11,62879455,62916780,45.05
ENSMUSG00000050022,chr5,140724127,140761439,51.81
ENSMUSG00000024350,chr18,35671103,35708414,44.3
ENSMUSG00000002814,chr11,60740058,60777365,45.35
ENSMUSG00000033184,chr18,46560235,46597535,42.59
ENSMUSG00000033054,chr9,53537047,53574342,37.6
ENSMUSG00000040660,chr7,26173411,26210661,41.93
ENSMUSG00000029416,chr5,127595664,127632897,48.26
ENSMUSG00000033900,chr3,82358044,82395268,43.82
ENSMUSG00000025937,chr1,13623330,13660546,42.88
ENSMUSG00000004552,chr1,131638306,131675505,46.74
ENSMUSG00000015597,chr17,46383731,46420920,42.01
ENSMUSG00000056632,chr18,20510274,20547459,40.87
ENSMUSG00000023030,chr15,100387898,100425072,49.17
ENSMUSG00000049350,chr7,127050156,127087328,46.15
ENSMUSG00000035834,chr13,81673843,81711013,41.7
ENSMUSG00000019794,chr10,7726000,7763150,42.67
ENSMUSG00000037408,chr1,36471620,36508764,49.13
ENSMUSG00000021987,chr14,60265228,60302370,41.33
ENSMUSG00000032705,chr12,80463095,80500227,42.48
ENSMUSG00000028383,chr4,59581563,59618689,42.08
ENSMUSG00000024006,chr17,28970880,29007995,44.5
ENSMUSG00000090751,chr7,42896711,42933822,39.41
ENSMUSG00000024778,chr19,34290666,34327772,41.78
ENSMUSG00000049265,chr5,30588170,30625271,52.38
ENSMUSG00000024423,chr18,12955852,12992950,42.25
ENSMUSG00000102018,chr15,76009888,76046981,49.33
ENSMUSG00000031545,chr8,23171265,23208346,45.71
ENSMUSG00000059708,chrX,36608314,36645395,41.16
ENSMUSG00000042608,chr4,126103957,126141029,50.77
ENSMUSG00000028096,chr3,96868281,96905346,44.59
ENSMUSG00000019256,chr12,35497974,35535038,41.99
ENSMUSG00000074003,chr7,98440416,98477479,50.04
ENSMUSG00000062627,chr4,94942040,94979100,38.43
ENSMUSG00000052981,chr13,69702832,69739889,48.03
ENSMUSG00000040181,chr1,162829561,162866610,43.02
ENSMUSG00000002847,chr16,38396117,38433145,45.28
ENSMUSG00000048779,chr7,100937630,100974649,50.24
ENSMUSG00000003410,chr9,22015005,22052023,50.42
ENSMUSG00000031766,chr8,94329201,94366214,51.35
ENSMUSG00000035726,chr14,52160414,52197416,41.04
ENSMUSG00000091350,chr17,18151887,18188886,37.09
ENSMUSG00000031853,chr8,125910450,125947440,48.03
ENSMUSG00000024143,chr17,86963082,87000069,47.81
ENSMUSG00000020070,chr10,62980223,63017210,45.38
ENSMUSG00000041769,chr7,138846079,138883057,44
ENSMUSG00000010392,chr11,76726602,76763579,43.54
ENSMUSG00000042489,chr4,126556935,126593903,45.01
ENSMUSG00000026819,chr2,32414487,32451445,47.21
ENSMUSG00000052395,chr14,30654360,30691317,45.51
ENSMUSG00000000340,chr3,116513070,116549981,44.05
ENSMUSG00000036985,chrX,48171969,48208878,43.46
ENSMUSG00000030968,chr7,119486587,119523489,43.78
ENSMUSG00000028876,chr4,124880899,124917800,51.33
ENSMUSG00000062190,chr6,57702540,57739439,39.01
ENSMUSG00000090383,chr7,41835814,41872712,38.59
ENSMUSG00000047342,chr11,62752577,62789462,42.16
ENSMUSG00000038685,chr2,181319739,181356616,46.8
ENSMUSG00000030779,chr7,122965686,123002557,40
ENSMUSG00000033684,chr1,155776029,155812889,50.47
ENSMUSG00000025745,chr5,30118304,30155162,43.8
ENSMUSG00000027166,chr2,105966709,106003549,38.98
ENSMUSG00000031924,chr8,107150640,107187471,42.83
ENSMUSG00000091631,chr17,18424078,18460905,35.6
ENSMUSG00000002496,chr17,24595816,24632630,52.47
ENSMUSG00000056228,chr8,11513977,11550783,50.65
ENSMUSG00000037254,chr2,10094593,10131396,42.59
ENSMUSG00000010154,chr8,123332713,123369515,50
ENSMUSG00000026480,chr1,152800194,152836991,46.98
ENSMUSG00000059273,chr7,16400910,16437696,49.75
ENSMUSG00000030662,chr14,120911224,120947999,43.38
ENSMUSG00000058019,chr8,93499064,93535830,43.68
ENSMUSG00000070690,chr5,90561107,90597871,43.2
ENSMUSG00000060538,chr7,126886171,126922917,44.69
ENSMUSG00000029263,chr5,108312609,108349355,42.67
ENSMUSG00000026608,chr1,188971095,189007841,46.21
ENSMUSG00000030243,chr6,142350342,142387087,44.39
